Ri,Zj,Rhoij
-3.548387,14.285714,0.000005
-3.548387,14.920635,0.000004
-3.548387,15.555556,0.000002
-3.548387,16.190476,0.000001
-3.548387,16.825397,0.000000
-3.548387,17.460317,0.000000
-3.548387,18.095238,0.000000
-3.548387,18.730159,0.000000
-3.548387,19.365079,0.000000
-3.548387,20.000000,0.000000
-2.903226,-20.000000,0.000000
-2.903226,-19.365079,0.000000
-2.903226,-18.730159,0.000000
-2.903226,-18.095238,0.000000
-2.903226,-17.460317,0.000000
-2.903226,-16.825397,0.000000
-2.903226,-16.190476,0.000001
-2.903226,-15.555556,0.000003
-2.903226,-14.920635,0.000005
-2.903226,-14.285714,0.000007
-2.903226,-13.650794,0.000007
-2.903226,-13.015873,0.000007
-2.903226,-12.380952,0.000017
-2.903226,-11.746032,0.000047
-2.903226,-11.111111,0.000106
-2.903226,-10.476190,0.000259
-2.903226,-9.841270,0.000843
-2.903226,-9.206349,0.003275
-2.903226,-8.571429,0.011628
-2.903226,-7.936508,0.032323
-2.903226,-7.301587,0.067622
-2.903226,-6.666667,0.107801
-2.903226,-6.031746,0.136617
-2.903226,-5.396825,0.148195
-2.903226,-4.761905,0.150889
-2.903226,-4.126984,0.152838
-2.903226,-3.492063,0.154042
-2.903226,-2.857143,0.153072
-2.903226,-2.222222,0.151319
-2.903226,-1.587302,0.150020
-2.903226,-0.952381,0.149062
-2.903226,-0.317460,0.148447
-2.903226,0.317460,0.148458
-2.903226,0.952381,0.149084
-2.903226,1.587302,0.150138
-2.903226,2.222222,0.151472
-2.903226,2.857143,0.152818
-2.903226,3.492063,0.153415
-2.903226,4.126984,0.152578
-2.903226,4.761905,0.151233
-2.903226,5.396825,0.149483
-2.903226,6.031746,0.140847
-2.903226,6.666667,0.116364
-2.903226,7.301587,0.078140
-2.903226,7.936508,0.040674
-2.903226,8.571429,0.016098
-2.903226,9.206349,0.004948
-2.903226,9.841270,0.001317
-2.903226,10.476190,0.000383
-2.903226,11.111111,0.000147
-2.903226,11.746032,0.000066
-2.903226,12.380952,0.000028
-2.903226,13.015873,0.000011
-2.903226,13.650794,0.000007
-2.903226,14.285714,0.000007
-2.903226,14.920635,0.000005
-2.903226,15.555556,0.000003
-2.903226,16.190476,0.000001
-2.903226,16.825397,0.000001
-2.903226,17.460317,0.000000
-2.903226,18.095238,0.000000
-2.903226,18.730159,0.000000
-2.903226,19.365079,0.000000
-2.903226,20.000000,0.000000
-2.258065,-20.000000,0.000000
-2.258065,-19.365079,0.000000
-2.258065,-18.730159,0.000000
-2.258065,-18.095238,0.000000
-2.258065,-17.460317,0.000000
-2.258065,-16.825397,0.000001
-2.258065,-16.190476,0.000002
-2.258065,-15.555556,0.000003
-2.258065,-14.920635,0.000005
-2.258065,-14.285714,0.000007
-2.258065,-13.650794,0.000007
-2.258065,-13.015873,0.000008
-2.258065,-12.380952,0.000021
-2.258065,-11.746032,0.000056
-2.258065,-11.111111,0.000127
-2.258065,-10.476190,0.000329
-2.258065,-9.841270,0.001151
-2.258065,-9.206349,0.004566
-2.258065,-8.571429,0.015767
-2.258065,-7.936508,0.041527
-2.258065,-7.301587,0.081223
-2.258065,-6.666667,0.120468
-2.258065,-6.031746,0.143352
-2.258065,-5.396825,0.150382
-2.258065,-4.761905,0.152947
-2.258065,-4.126984,0.155159
-2.258065,-3.492063,0.154342
-2.258065,-2.857143,0.151317
-2.258065,-2.222222,0.149007
-2.258065,-1.587302,0.147741
-2.258065,-0.952381,0.146931
-2.258065,-0.317460,0.146625
-2.258065,0.317460,0.146639
-2.258065,0.952381,0.146820
-2.258065,1.587302,0.147632
-2.258065,2.222222,0.149320
-2.258065,2.857143,0.151687
-2.258065,3.492063,0.154314
-2.258065,4.126984,0.155443
-2.258065,4.761905,0.153888
-2.258065,5.396825,0.151703
-2.258065,6.031746,0.147134
-2.258065,6.666667,0.129714
-2.258065,7.301587,0.094354
-2.258065,7.936508,0.053068
-2.258065,8.571429,0.022416
-2.258065,9.206349,0.007180
-2.258065,9.841270,0.001902
-2.258065,10.476190,0.000518
-2.258065,11.111111,0.000183
-2.258065,11.746032,0.000081
-2.258065,12.380952,0.000034
-2.258065,13.015873,0.000013
-2.258065,13.650794,0.000008
-2.258065,14.285714,0.000007
-2.258065,14.920635,0.000006
-2.258065,15.555556,0.000004
-2.258065,16.190476,0.000002
-2.258065,16.825397,0.000001
-2.258065,17.460317,0.000000
-2.258065,18.095238,0.000000
-2.258065,18.730159,0.000000
-2.258065,19.365079,0.000000
-2.258065,20.000000,0.000000
-1.612903,-20.000000,0.000000
-1.612903,-19.365079,0.000000
-1.612903,-18.730159,0.000000
-1.612903,-18.095238,0.000000
-1.612903,-17.460317,0.000000
-1.612903,-16.825397,0.000001
-1.612903,-16.190476,0.000002
-1.612903,-15.555556,0.000004
-1.612903,-14.920635,0.000006
-1.612903,-14.285714,0.000007
